GRB Name,z,T90,logFx,logFx_err,S,S_err,log(Ta/1000),logTa_err,log(Lx),logLx_err,logEiso,logEiso_err,Alpha_1,alpha_1_err,Alpha_2,alpha_2_err
160905A,0.33,64,_9.57,0.06,150,2,0.35,0.06,_0.03,0.06,_1.5,0.01,0.64,0.02,1.58,0.03
161004B,15.33,15.9,_11.08,0.37,88,2,_0.58,0.28,2.44,0.37,0.32,0.01,0.76,0.06,1.73,0.18
161214B,17.15,24.8,_11.52,0.13,24,1,_0.12,0.48,2.12,0.13,0.47,0.02,_0.15,0.39,1.32,0.17
170317A,1.84,11.94,_11.16,0.23,13,1,0.07,0.24,0.25,0.23,_1.5,0.03,0.39,0.09,1.66,0.2
170803A,0.001,3.82,_9.33,0.02,9.8,0.4,_0.01,0.05,_4.76,0.02,_7.44,0.02,0.15,0.07,1.97,0.05
170906A,1.86,88.1,_9.1,0.03,320,0,_0.74,0.08,2.4,0.03,0.08,0,_0.58,0.29,1.76,0.05
171120A,1.78,64,_11.34,0.11,86,3,1.15,0.08,_0.03,0.11,_0.58,0.02,0.21,0.06,1.98,0.16
180411A,3.16,77.5,_10.36,0.14,120,0,0.1,0.15,1.57,0.14,0.08,0,0.08,0.1,1.45,0.09
180623A,4.69,114.9,_10.62,0.2,120,2,0.04,0.1,1.79,0.2,0.27,0.01,0.46,0.08,2.59,0.23
180626A,6.44,30.07,_11.07,0.15,48,2,0.11,0.17,1.64,0.15,0.18,0.02,0.24,0.06,1.44,0.1
190202A,0.21,19.4,_9.29,0.05,60,5,_0.14,0.05,_0.17,0.05,_2.23,0.04,_0.01,0.06,1.5,0.02
190203A,1.95,96,_10.31,0.12,150,5,0.4,0.07,0.96,0.12,_0.29,0.01,0.9,0.02,2.11,0.1
190211A,0.85,12.48,_10.36,0.06,6.5,1.2,_0.32,0.13,0.17,0.06,_2.04,0.08,_0.33,0.2,1.29,0.06
190519A,11.08,45.58,_10.2,0.17,180,10,_0.62,0.21,2.78,0.17,0.66,0.02,0.23,0.09,1.41,0.1
190828B,1.88,66.6,_10.32,0.14,42,2,_0.1,0.04,1.05,0.14,_0.76,0.02,_0.03,0.05,1.39,0.04
191004A,1.94,2.44,_10.49,0.14,13,1,_0.31,0.14,0.86,0.14,_1.22,0.03,0.54,0.06,1.8,0.12
200519A,0.24,71.88,_9.34,0.03,120,2,0.16,0.05,_0.13,0.03,_1.84,0.01,0.28,0.03,1.41,0.02
200711A,1.63,29.39,_10.66,0.24,53,3,0.43,0.19,0.59,0.24,_0.69,0.02,0.47,0.07,1.852,0.19
200713A,0.71,48.98,_11.4,0.15,9,1.6,1.08,0.18,_1.01,0.15,_1.81,0.08,0.11,0.09,1.51,0.18
201209A,4.99,48,_10.2,0.06,140,10,_0.23,0.15,2.21,0.06,0.45,0.03,_0.24,0.1,1.08,0.08
201229A,0.52,53.3,_11.5,0.17,13,2,1.29,0.18,_1.52,0.17,_2.15,0.07,0.3,0.05,1.28,0.1
210104A,0.54,32.06,_9.39,0.15,88,2,_0.14,0.28,0.66,0.15,_1.27,0.01,0.17,0.17,1.41,0.12
210209A,0.72,139.4,_10.75,0.15,24,2,0.64,0.1,_0.4,0.15,_1.6,0.04,0.28,0.06,1.39,0.07
210306A,0.18,9.12,_9.5,0.05,57,1,0.09,0.06,_0.54,0.05,_2.41,0.01,0.31,0.03,1.64,0.05
210514A,0.57,70.21,_9.38,0.01,74,2,_0.23,0.03,0.74,0.01,_1.26,0.01,_0.56,0.06,1.35,0.02
211129A,0.58,113.01,_10.72,0.11,23,2,0.63,0.11,_0.52,0.11,_1.75,0.04,0.09,0.08,1.52,0.08
220325A,1.37,3.5,_11.16,0.2,2.9,0.4,_0.15,0.45,_0.25,0.2,_2.34,0.06,0.04,0.19,1.01,0.11
220408A,0.84,17.25,_10.47,0.21,12,1,_0.03,0.26,0.04,0.21,_1.86,0.04,0.18,0.15,1.49,0.11
220518A,5.86,12.29,_10.54,0.08,5.7,0.8,_0.96,0.21,1.92,0.08,_0.73,0.06,_0.36,0.25,1.36,0.09
